0.0000	173.53	57.21
0.0000	220.86	55.58
0.0000	236.14	35.74
0.0000	260.24	17.92
434440635.0000	264.61	4.56
434440637.0000	234.58	28.88
434440639.0000	167.99	52.40
434440641.0000	174.75	33.39
434440643.0000	74.20	33.01
434440645.0000	33.85	12.37
434440647.0000	2.97	16.07
434440651.0000	13.06	15.91
434440653.0000	29.41	12.09
434440655.0000	45.87	4.69
434440657.0000	55.81	8.95
434440659.0000	39.37	11.32
434440661.0000	18.20	6.07
434440663.0000	22.37	10.34
434440665.0000	9.28	0.87
434440667.0000	10.40	1.34
434440669.0000	10.62	2.58
434440671.0000	9.73	3.07
434440673.0000	7.72	2.04
434440675.0000	4.96	1.10
434440677.0000	4.86	1.18
434440679.0000	6.20	0.69
434440681.0000	5.39	1.34
434440683.0000	4.40	1.35
434440685.0000	2.30	1.57
434440687.0000	3.80	1.85
434440689.0000	3.07	1.17
434440691.0000	3.03	0.54
434440693.0000	4.67	0.43
434440695.0000	4.81	0.37
434440697.0000	4.50	0.24
434440699.0000	4.41	0.23
434440701.0000	4.66	0.88
434440703.0000	2.42	0.53
434440705.0000	3.07	0.13
434440707.0000	1.46	0.16
434440709.0000	0.83	0.33
434440711.0000	2.22	0.94
434440713.0000	6.00	1.85
434440715.0000	7.07	1.68
434440717.0000	9.34	1.47
434440719.0000	12.27	1.73
434440721.0000	12.27	0.24
434440723.0000	11.16	1.30
434440725.0000	9.62	1.51
434440727.0000	7.34	1.65
434440729.0000	4.82	1.44
434440731.0000	3.93	0.88
434440733.0000	4.77	0.93
434440735.0000	7.71	1.08
434440737.0000	11.19	0.88
434440739.0000	12.57	0.83
434440741.0000	13.27	0.22
434440743.0000	14.11	0.61
434440745.0000	13.46	1.18
434440747.0000	12.66	1.71
434440749.0000	10.93	1.37
434440751.0000	9.71	1.16
434440753.0000	7.94	0.76
434440755.0000	7.17	0.57
434440757.0000	5.82	1.38
434440759.0000	5.73	0.95
434440761.0000	4.11	1.02
434440763.0000	2.96	0.73
434440765.0000	2.59	0.52
434440767.0000	1.69	0.57
434440769.0000	1.43	0.71
434440771.0000	1.90	0.48
434440773.0000	2.52	0.32
434440775.0000	1.84	0.46
434440777.0000	2.00	0.51
434440779.0000	1.40	0.50
434440781.0000	0.31	0.73
434440783.0000	2.39	0.94
434440785.0000	4.45	1.04
434440787.0000	5.21	0.77
434440789.0000	5.44	0.26
434440791.0000	4.94	0.37
434440793.0000	4.03	0.59
434440795.0000	1.84	1.26
434440797.0000	2.85	2.12
434440799.0000	7.73	2.06
434440801.0000	14.12	2.14
434440803.0000	18.84	1.63
434440805.0000	23.24	1.65
434440807.0000	26.05	0.91
434440809.0000	28.02	1.45
434440811.0000	26.06	2.23
434440813.0000	23.72	2.52
434440815.0000	23.40	2.69
434440817.0000	21.08	2.52
434440819.0000	18.82	1.98
434440821.0000	21.20	1.71
434440823.0000	19.55	2.38
434440825.0000	20.11	1.31
434440827.0000	20.13	0.83
434440829.0000	20.64	1.52
434440831.0000	20.32	1.01
434440833.0000	17.81	1.27
434440835.0000	16.89	1.58
434440837.0000	14.70	1.68
434440839.0000	11.83	1.57
434440841.0000	10.33	1.11
434440843.0000	8.41	1.14
434440845.0000	6.46	1.12
434440847.0000	3.67	1.09
434440849.0000	2.49	0.96
434440851.0000	1.87	0.73
434440853.0000	3.35	0.65
434440855.0000	5.09	0.72
434440857.0000	6.30	0.42
434440859.0000	7.50	0.19
434440861.0000	4.83	1.31
434440863.0000	4.67	1.09
434440865.0000	4.69	0.84
434440867.0000	6.14	0.76
434440869.0000	11.33	1.54
434440871.0000	26.88	4.37
434440873.0000	63.22	10.80
434440875.0000	94.29	13.09
434440877.0000	107.91	6.75
434440879.0000	127.08	2.12
434440881.0000	142.57	2.19
434440883.0000	147.25	7.75
434440885.0000	154.45	8.62
434440887.0000	149.47	8.79
434440889.0000	123.52	8.93
434440891.0000	99.09	10.74
434440893.0000	80.27	16.26
434440895.0000	53.50	17.25
434440897.0000	27.96	13.90
434440899.0000	10.00	10.60
434440901.0000	10.54	4.49
434440903.0000	18.59	0.81
434440905.0000	20.12	1.57
434440907.0000	19.26	1.49
434440909.0000	17.84	0.67
434440911.0000	16.85	0.39
434440913.0000	15.73	0.89
434440915.0000	14.49	0.48
434440917.0000	14.99	0.43
434440919.0000	13.69	1.20
434440921.0000	12.60	1.92
434440923.0000	10.82	2.06
434440925.0000	10.21	2.36
434440927.0000	12.72	3.16
434440929.0000	19.42	3.30
434440931.0000	22.73	1.87
434440933.0000	24.42	0.97
434440935.0000	24.39	1.72
434440937.0000	21.68	3.23
434440939.0000	18.78	3.63
434440941.0000	12.69	3.51
434440943.0000	8.77	2.19
434440945.0000	4.55	2.04
434440947.0000	4.08	2.33
434440949.0000	6.89	2.30
434440951.0000	10.80	2.19
434440953.0000	13.02	1.72
434440955.0000	15.07	1.05
434440957.0000	17.91	0.63
434440959.0000	16.53	0.57
434440961.0000	16.77	1.08
434440963.0000	14.62	1.36
434440965.0000	14.37	0.54
434440967.0000	12.29	0.75
434440969.0000	9.89	0.89
434440971.0000	7.46	1.13
434440973.0000	5.02	1.22
434440975.0000	3.48	0.77
434440977.0000	1.63	0.85
434440979.0000	0.87	0.91
434440981.0000	2.49	0.62
434440983.0000	4.60	0.42
434440985.0000	5.85	0.22
434440987.0000	7.18	0.39
434440989.0000	7.72	0.08
434440991.0000	7.61	0.42
434440993.0000	6.92	0.85
434440995.0000	5.99	0.99
434440997.0000	5.56	0.92
434440999.0000	3.55	0.89
434441001.0000	2.72	1.05
434441003.0000	1.61	0.97
434441005.0000	4.67	1.06
434441007.0000	11.73	2.08
434441009.0000	21.99	3.37
434441011.0000	33.37	3.77
434441013.0000	38.42	1.97
434441015.0000	41.50	0.58
434441017.0000	43.23	1.73
434441019.0000	41.01	3.72
434441021.0000	36.36	5.62
434441023.0000	28.61	5.29
434441025.0000	19.92	3.93
434441027.0000	13.60	2.20
